City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bata,1.8639,9.7658,299.83,86,84,2.66,GQ,1706499433
1,ulubey,40.8721,37.7588,274.22,97,100,1.33,TR,1706499725
2,alice springs,-23.7,133.8833,313.83,11,23,4.12,AU,1706499725
3,ilulissat,69.2167,-51.1,250.16,49,75,5.14,GL,1706499626
4,lihue,21.9789,-159.3672,300.02,77,40,8.75,US,1706499726
5,alofi,-19.0595,-169.9187,302.09,70,65,4.63,NU,1706499726
6,green river,41.5286,-109.4662,277.37,98,100,1.4,US,1706499726
7,ushuaia,-54.8,-68.3,287.96,47,20,4.12,AR,1706499205
8,adamstown,-25.066,-130.1015,297.87,77,79,4.41,PN,1706499726
9,moses lake,47.1301,-119.2781,277.53,100,100,2.06,US,1706499727
10,as suwayq,23.8494,57.4386,296.23,64,15,0.74,OM,1706499727
11,avarua,-21.2078,-159.775,301.18,83,40,3.6,CK,1706499230
12,papatowai,-46.5619,169.4708,291.22,65,17,2.32,NZ,1706499228
13,edinburgh of the seven seas,-37.0676,-12.3116,290.04,81,93,9.92,SH,1706499727
14,waitangi,-43.9535,-176.5597,291.38,98,100,6.21,NZ,1706499188
15,iqaluit,63.7506,-68.5145,237.0,61,20,7.2,CA,1706499249
16,wewak,-3.5534,143.6268,301.4,76,100,1.35,PG,1706499728
17,puerto natales,-51.7236,-72.4875,282.04,90,99,1.83,CL,1706499085
18,bilibino,68.0546,166.4372,239.4,97,95,2.54,RU,1706499218
19,formosa do rio preto,-11.0483,-45.1931,294.25,99,100,0.97,BR,1706499728
20,fort bragg,35.139,-79.006,283.26,52,40,5.66,US,1706499157
21,carnarvon,-24.8667,113.6333,300.67,56,0,7.26,AU,1706499242
22,urubamba,-13.3047,-72.1158,286.65,93,90,2.23,PE,1706499729
23,betio village,1.358,172.9211,303.17,67,78,6.29,KI,1706499729
24,hawaiian paradise park,19.5933,-154.9731,298.88,81,0,4.12,US,1706499151
25,lospalos,-8.5186,127.0025,302.1,66,98,1.63,TL,1706499729
26,haiku-pauwela,20.9219,-156.3051,298.17,77,20,11.32,US,1706499729
27,bethel,41.3712,-73.414,275.57,86,100,4.12,US,1706499107
28,chegdomyn,51.1167,133.0167,261.65,84,100,1.77,RU,1706499730
